project,sha,category,reason,violation,reasons,discard,
google-compile-testing,2a47a5333134a3d0de68d8ddddf4d1b6e75f8012,category 1.3.2.1,found by mop and missed by ps1c ps3cl methodCIA classCIA methodCIAThreads classCIAThreads,Specification Closeable_MeaninglessClose has been violated on line org.objectweb.asm.ClassReader.readStream(ClassReader.java:314),unsafe - JDeps says file is unused,FALSE,"loaded using Class.forName (asm 9.0), and same bug as below for emop (base rv bug)"
google-compile-testing,2a47a5333134a3d0de68d8ddddf4d1b6e75f8012,category 1.3.2.1,found by mop and missed by ps1c ps3cl cleanByteCode storeHashes cleanByteCodeThreads storeHashesThreads methodCIA dynamicCIA classCIA methodCIAThreads classCIAThreads dynamicCIAThreads,Specification Iterator_HasNext has been violated on line com.google.common.collect.ImmutableMultimap$1.hasNext(ImmutableMultimap.java:571),"ps1c baserv but didn't run test, false positive - reused old bytecode so outdated line number",TRUE,
google-compile-testing,2a47a5333134a3d0de68d8ddddf4d1b6e75f8012,category 1.3.2.1,found by mop and missed by ps1c ps3cl cleanByteCode storeHashes cleanByteCodeThreads storeHashesThreads methodCIA dynamicCIA classCIA methodCIAThreads classCIAThreads dynamicCIAThreads,Specification Iterator_HasNext has been violated on line com.google.common.collect.ImmutableMultimap$1.next(ImmutableMultimap.java:581),"ps1c baserv but didn't run test, false positive - reused old bytecode so outdated line number",TRUE,
google-compile-testing,95e749db88ef949fb29ca1348d96cf6583331885,category 1.2.1,found by mop and missed by cleanByteCode storeHashes cleanByteCodeThreads storeHashesThreads methodCIA dynamicCIA classCIA methodCIAThreads classCIAThreads dynamicCIAThreads,Specification ListIterator_Set has been violated on line com.google.common.collect.ImmutableList.iterator(ImmutableList.java:383),false positive - reused old bytecode so outdated line number,TRUE,
google-compile-testing,bcad50d46aceac8933b680e1c1726c857d3d1363,category 1.2.1,found by mop and missed by methodCIA classCIA methodCIAThreads classCIAThreads,Specification Closeable_MeaninglessClose has been violated on line org.objectweb.asm.ClassReader.readStream(ClassReader.java:321),false positive - not new violation,TRUE,loaded using Class.forName (asm 9.1)
google-compile-testing,6260258cbfe962f191ff64537a0cd4f955bae916,category 1.2.1,found by mop and missed by cleanByteCode storeHashes cleanByteCodeThreads storeHashesThreads,Specification Iterator_HasNext has been violated on line com.google.testing.compile.TypeEnumerator$TypeScanner.visitCompilationUnit(TypeEnumerator.java:99),false positive - reused old bytecode so outdated line number,TRUE,
google-compile-testing,6260258cbfe962f191ff64537a0cd4f955bae916,category 1.2.1,found by mop and missed by cleanByteCode storeHashes cleanByteCodeThreads storeHashesThreads,Specification Iterator_HasNext has been violated on line com.google.testing.compile.TypeEnumerator$TypeScanner.visitMemberSelect(TypeEnumerator.java:87),false positive - reused old bytecode so outdated line number,TRUE,
jdbc-observations-datasource-proxy,c3432ac486ed955dbfcf6d277fd15c4af8b738d0,category 1.3.1.2,found by mop and missed by ps3cl methodCIA methodCIAThreads,Specification Iterator_HasNext has been violated on line net.bytebuddy.dynamic.scaffold.MethodGraph$Compiler$Default$Key$Store$Entry$Ambiguous.asNode(MethodGraph.java:1486),unsafe - never see before,FALSE,event in library
jdbc-observations-datasource-proxy,b69ec5beec33ad39b9e3ddab897aeca8d815cfb5,category 2,found by incrementalJar,Specification Collection_UnsafeIterator has been violated on line org.apache.logging.log4j.core.jmx.StatusLoggerAdmin.removeListeners(StatusLoggerAdmin.java:79),flaky - finding more than mop,TRUE,
jdbc-observations-datasource-proxy,b69ec5beec33ad39b9e3ddab897aeca8d815cfb5,category 1.2.1,found by mop and missed by methodCIA classCIA methodCIAThreads classCIAThreads,Specification Iterator_HasNext has been violated on line org.apache.logging.log4j.core.filter.ThreadContextMapFilter.<init>(ThreadContextMapFilter.java:63),"rerun missed by methodCIA, classCIA, methodCIAThreads classCIAThreads ",FALSE,
