project,nomop,ltw,ctw,ctw - nomop,ctw / nomop,ltw - ctw
upyun-java-sdk,55.931,74.863,60.554,4.623,1.083,14.309
codelibs-elasticsearch-langfield,53.753,446.626,141.758,88.005,2.637,304.868
myui-btree4j,53.451,145.095,118.098,64.647,2.209,26.997
Grundlefleck-ASM-NonClassloadingExtensions,48.912,189.789,119.001,70.089,2.433,70.788
bkatwal-kafka-util,43.873,173.309,45.312,1.439,1.033,127.997
Blazemeter-xtn5250,43.231,67.969,43.571,0.34,1.008,24.398
jahlborn-jackcess,42.957,222.679,150.664,107.707,3.507,72.015
ctrl-alt-dev-tps-parse,42.281,61.236,52.396,10.115,1.239,8.84
FasterXML-jackson-core,41.895,135.153,89.997,48.102,2.148,45.156
DenzelCode-AdvancedSQL,41.446,54.255,41.733,0.287,1.007,12.522
jingpeicomp-id-generator,41.195,183.591,179.901,138.706,4.367,3.69
HdrHistogram-HdrHistogram,39.548,67.504,47.269,7.721,1.195,20.235
jnr-jnr-ffi,39.247,885.509,67.731,28.484,1.726,817.778
spinscale-elasticsearch-graphite-plugin,36.34,236.278,38.795,2.455,1.068,197.483
orientechnologies-orientdb-jdbc,36.314,827.815,598.678,562.364,16.486,229.137
BingAds-BingAds-Java-SDK,36.125,265.37,37.307,1.182,1.033,228.063
jordw-heftydb,36.051,121.031,90.136,54.085,2.5,30.895
sinrimin-netty-socketio-client,35.84,52.105,35.861,0.021,1.001,16.244
schnatterer-musicbrainzws2-java,35.574,58.179,31.834,-3.74,0.895,26.345
iris-edu-stationxml-seed-converter,35.288,100.701,35.586,0.298,1.008,65.115
2captcha-2captcha-java,33.878,109.252,34.301,0.423,1.012,74.951
victor-porcar-delayed-batch-executor,33.772,49.718,32.433,-1.339,0.96,17.285
asterisk-java-asterisk-java,33.044,311.536,207.358,174.314,6.275,104.178
Coreoz-Wisp,32.597,62.689,33.425,0.828,1.025,29.264
bmatthews68-ldapunit,31.882,73.944,32.531,0.649,1.02,41.413
cescoffier-vertx-completable-future,31.703,68.504,32.942,1.239,1.039,35.562
didi-benchmark-thrift,30.761,74.121,32.72,1.959,1.064,41.401
JervyShi-nacos-embedded,30.187,49.654,30.99,0.803,1.027,18.664
zencoder-zencoder-java,29.713,61.074,33.491,3.778,1.127,27.583
jprante-elasticsearch-transport-websocket,27.321,209.803,29.855,2.534,1.093,179.948
apache-commons-codec,27.145,47.742,29.819,2.674,1.099,17.923
qubole-qds-sdk-java,26.398,87.93,27.027,0.629,1.024,60.903
codelibs-elasticsearch-dynarank,25.728,703.214,240.931,215.203,9.365,462.283
f4b6a3-uuid-creator,24.977,77.592,47.418,22.441,1.898,30.174
revdotcom-revai-java-sdk,24.941,119.497,26.823,1.882,1.075,92.674
pizihao-crow,24.106,37.436,26.115,2.009,1.083,11.321
jlinn-quartz-redis-jobstore,23.967,81.202,23.949,-0.018,0.999,57.253
HelixNetwork-pendulum,23.34,323.907,42.052,18.712,1.802,281.855
